alarm_vague	symptom_number	symptom_desc	medcode	readcode	readcode_desc
Alarm symptom	3	Breast lump	54546	26H1.00	O/E - breast lump smooth
Alarm symptom	3	Breast lump	54547	26I1.00	O/E - breast lump not tethered
Alarm symptom	3	Breast lump	56223	26FZ.00	O/E - breast lump size NOS
Alarm symptom	3	Breast lump	58947	26G1.00	O/E - breast lump soft
Alarm symptom	3	Breast lump	59003	26I2.00	O/E -breast lump fixed to skin
Alarm symptom	3	Breast lump	61283	26IZ.00	O/E - breast lump tethered NOS
Alarm symptom	3	Breast lump	61291	1A85.00	Breast lump detected by partner
Alarm symptom	3	Breast lump	68736	26GZ.00	O/E - breast lump consist. NOS
Alarm symptom	3	Breast lump	72764	26F3.00	O/E-breast lump-tangerine size
Alarm symptom	3	Breast lump	74003	26HZ.00	O/E-breast lump regularity NOS
Alarm symptom	3	Breast lump	102282	26I3.00	O/E - breast lump fixed deep
Alarm symptom	3	Breast lump	110572	26F5.00	O/E-breast lump-grapefruit sze
Alarm symptom	4	Change in bowel habit 	910	19EA.00	Change in bowel habit
Alarm symptom	4	Change in bowel habit 	16665	R078.00	[D]Change in bowel habit
Alarm symptom	4	Change in bowel habit 	19690	19EA.11	Altered bowel habit
Alarm symptom	4	Change in bowel habit 	62248	6643.00	GIT symptom changes
Alarm symptom	5	Nipple changes of concern	1148	K317400	Nipple discharge
Alarm symptom	5	Nipple changes of concern	2247	K317300	Inversion of nipple
Alarm symptom	5	Nipple changes of concern	3614	K317500	Retraction of nipple
Alarm symptom	5	Nipple changes of concern	4496	26C3.11	Sore nipple
Alarm symptom	5	Nipple changes of concern	5001	26D5.00	O/E - nipple disch.-blood-dark
Alarm symptom	5	Nipple changes of concern	6587	7136300	Reconstruction of the nipple or areolar complex unspecified
Alarm symptom	5	Nipple changes of concern	7397	1A9..00	Nipple discharge symptom
Alarm symptom	5	Nipple changes of concern	15080	K312.00	Fissure of nipple
Alarm symptom	5	Nipple changes of concern	17269	26C3.12	Painful nipple
Alarm symptom	5	Nipple changes of concern	17703	1A92.00	Nipple discharge present
Alarm symptom	5	Nipple changes of concern	21717	26C3.00	O/E - cracked nipple
Alarm symptom	5	Nipple changes of concern	24191	26D..00	O/E - nipple discharge
Alarm symptom	5	Nipple changes of concern	24365	K312.11	Cracked nipple
Alarm symptom	5	Nipple changes of concern	28479	7136500	Eversion of nipple
Alarm symptom	5	Nipple changes of concern	28992	26C2.11	O/E - retracted nipple
Alarm symptom	5	Nipple changes of concern	29478	1A9Z.00	Nipple discharge NOS
Alarm symptom	5	Nipple changes of concern	39417	26C2.00	O/E - retraction of nipple
Alarm symptom	5	Nipple changes of concern	45373	26D3.00	O/E - nipple discharge - milky
Alarm symptom	5	Nipple changes of concern	52954	26D4.00	O/E-nipple discharge-blood-red
Alarm symptom	5	Nipple changes of concern	54542	26D1.00	O/E - no nipple discharge
Alarm symptom	5	Nipple changes of concern	61678	26DZ.00	O/E - nipple discharge NOS
Alarm symptom	5	Nipple changes of concern	62961	26D2.00	O/E - nipple discharge - clear
Alarm symptom	5	Nipple changes of concern	65842	26D6.00	O/E - nipple discharge - pus
Alarm symptom	6	Dysphagia 	727	R072000	[D]Difficulty in swallowing
Alarm symptom	6	Dysphagia 	1241	194..11	Dysphagia
Alarm symptom	6	Dysphagia 	1360	R04z000	[D]Choking sensation
Alarm symptom	6	Dysphagia 	3687	U144.00	[X]Inhalation + ingestion of food causing obstr resp tract
Alarm symptom	6	Dysphagia 	3805	Q311.00	Massive aspiration syndrome
Alarm symptom	6	Dysphagia 	3847	H470.00	Pneumonitis due to inhalation of food or vomitus
Alarm symptom	6	Dysphagia 	4229	H5C..00	Choking due to airways obstruction
Alarm symptom	6	Dysphagia 	4281	R072.00	[D]Dysphagia
Alarm symptom	6	Dysphagia 	6300	1942.00	Difficulty swallowing solids
Alarm symptom	6	Dysphagia 	6722	1CB2.00	Choking sensation
Alarm symptom	6	Dysphagia 	9256	TF11.00	Choked on food
Alarm symptom	6	Dysphagia 	10360	194..00	Swallowing symptoms
Alarm symptom	6	Dysphagia 	11429	J100.11	Cardiospasm - oesophagus
Alarm symptom	6	Dysphagia 	16693	ZV41612	[V]Problems with swallowing
Alarm symptom	6	Dysphagia 	17726	TF1..00	Inhalation/ingestion of food - resp obstruction/suffocation
Alarm symptom	6	Dysphagia 	18878	1944.00	Painful swallowing
Alarm symptom	6	Dysphagia 	23624	SG31.12	Choked on regurgitated food
Alarm symptom	6	Dysphagia 	23964	TB14.00	Aspiration of fluid with complication, without blame
Alarm symptom	6	Dysphagia 	24457	TF10200	Asphyxia by regurgitated food
Alarm symptom	6	Dysphagia 	25464	TF11200	Choked on regurgitated food
Alarm symptom	6	Dysphagia 	25900	ZD51.00	Safe swallow technique
Alarm symptom	6	Dysphagia 	26042	1943.00	Difficulty swallowing liquids
Alarm symptom	6	Dysphagia 	30924	1952.00	Regurgitates food
Alarm symptom	6	Dysphagia 	30955	R072z00	[D]Dysphagia NOS
Alarm symptom	6	Dysphagia 	32194	194Z.00	Swallowing symptom NOS
Alarm symptom	6	Dysphagia 	35911	TF13.00	Respiratory obstruction due to food lodged in oesophagus
Alarm symptom	6	Dysphagia 	37494	TF10.00	Asphyxia by food
Alarm symptom	6	Dysphagia 	37836	ZD53.00	Management of choking
Alarm symptom	6	Dysphagia 	40441	TF13300	Obstruction of pharynx by food
Alarm symptom	6	Dysphagia 	41781	H470000	Pneumonitis due to inhalation of regurgitated food
Alarm symptom	6	Dysphagia 	45560	ZD34.00	Dysphagia therapy regime
Alarm symptom	6	Dysphagia 	55478	D00y000	Sideropenic dysphagia
Alarm symptom	6	Dysphagia 	58761	TF11z00	Choked on food NOS
Alarm symptom	6	Dysphagia 	63041	TF13z00	Respiratory obstruction due to food lodged in oesophagus NOS
Alarm symptom	6	Dysphagia 	64369	TF1z.00	Inhalation/ingestion food - resp obstruction/suffocation NOS
Alarm symptom	6	Dysphagia 	64979	U144z00	[X]Inhal+ingest food caus obst resp tract occ unspecif place
Alarm symptom	6	Dysphagia 	65545	TF13200	Respiratory obstruction due to food lodged in oesophagus
Alarm symptom	6	Dysphagia 	65840	TF13000	Tracheal compression due to food lodged in oesophagus
Alarm symptom	6	Dysphagia 	66528	Q311z00	Massive aspiration syndrome NOS
Alarm symptom	6	Dysphagia 	70256	ZV41600	[V]Problem with swallowing or mastication
Alarm symptom	6	Dysphagia 	70519	TF12.00	Suffocation by food
Alarm symptom	6	Dysphagia 	73627	TB14z00	Aspiration of fluid with complication, without blame NOS
Alarm symptom	6	Dysphagia 	73808	TF13100	Interruption of respiration due to food lodged in oesophagus
Alarm symptom	6	Dysphagia 	73929	8E42.00	Swallowing defect amelioration
Alarm symptom	6	Dysphagia 	85666	ZD54100	Facilitating initiation of swallowing exercises
Alarm symptom	6	Dysphagia 	101204	H470.11	Aspiration pneumonia
Alarm symptom	6	Dysphagia 	103094	9Oq7.00	Dysphagia screening completed
Alarm symptom	6	Dysphagia 	107072	U144100	[X]Inhal+ingest food caus obst resp tract occ resid instit'n
Alarm symptom	9	Haematuria	507	K197.00	Haematuria
Alarm symptom	9	Haematuria	2784	K197200	Microscopic haematuria
Alarm symptom	9	Haematuria	6030	1A45.12	Haematuria - symptom
Alarm symptom	9	Haematuria	6234	1A45.11	Blood in urine - symptom
Alarm symptom	9	Haematuria	6247	14D5.00	H/O: haematuria
Alarm symptom	9	Haematuria	6659	1A45.00	Blood in urine - haematuria
Alarm symptom	9	Haematuria	6901	K197400	Clot haematuria
Alarm symptom	9	Haematuria	7164	K032100	Recurrent benign haematuria syndrome
Alarm symptom	9	Haematuria	7232	K197300	Frank haematuria
Alarm symptom	9	Haematuria	9651	K197000	Painless haematuria
Alarm symptom	9	Haematuria	13913	469..11	Blood in urine test
Alarm symptom	9	Haematuria	13915	46G2.11	RBCs- red blood cells in urine
Alarm symptom	9	Haematuria	13929	4697.00	Urine blood test = +++
Alarm symptom	9	Haematuria	13934	4695.00	Urine blood test = +
Alarm symptom	9	Haematuria	17060	K0A2.00	Recurrent and persistent haematuria
Alarm symptom	9	Haematuria	19361	K197.11	Traumatic haematuria
Alarm symptom	9	Haematuria	19792	4696.00	Urine blood test = ++
Alarm symptom	9	Haematuria	20357	K197100	Painful haematuria
Alarm symptom	9	Haematuria	35555	4625.00	Urine: red - blood
Alarm symptom	9	Haematuria	44541	K0A2600	Recurrent and persistent haematuria, dense deposit disease
Alarm symptom	9	Haematuria	47228	K197.12	Essential haematuria
Alarm symptom	9	Haematuria	107296	8T10.00	Referral to haematuria clinic
Alarm symptom	10	Haemoptysis	1610	172..12	Haemoptysis - symptom
Alarm symptom	10	Haemoptysis	2244	R063.00	[D]Haemoptysis
Alarm symptom	10	Haemoptysis	4135	172..00	Blood in sputum - haemoptysis
Alarm symptom	10	Haemoptysis	7285	R063100	[D]Pulmonary haemorrhage NOS
Alarm symptom	10	Haemoptysis	8239	R063000	[D]Cough with haemorrhage
Alarm symptom	10	Haemoptysis	10013	172..11	Blood in sputum - symptom
Alarm symptom	10	Haemoptysis	33742	R063z00	[D]Haemoptysis NOS
Alarm symptom	11	Jaundice	355	R024.00	[D]Jaundice (not of newborn)
Alarm symptom	11	Jaundice	2612	R024111	[D]Jaundice
Alarm symptom	11	Jaundice	3121	J66y600	Obstructive jaundice NOS
Alarm symptom	11	Jaundice	5300	R024000	[D]Cholaemia NOS
Alarm symptom	11	Jaundice	5996	2274.11	O/E - jaundiced
Alarm symptom	11	Jaundice	6000	1675.11	Jaundice - symptom
Alarm symptom	11	Jaundice	18019	1675.12	Yellow - symptom
Alarm symptom	11	Jaundice	18574	R024100	[D]Icterus NOS
Alarm symptom	11	Jaundice	25418	1675.00	Yellow/jaundiced colour
Alarm symptom	11	Jaundice	29488	2274.00	O/E - jaundiced colour
Alarm symptom	11	Jaundice	38877	R024z00	[D]Jaundice (not of newborn) NOS
Alarm symptom	11	Jaundice	39682	D100.11	Acholuric familial jaundice
Alarm symptom	11	Jaundice	73695	4223.00	O/E: blood looks deep yellow
Alarm symptom	13	Post-menopausal bleeding	1583	K5A1.00	Postmenopausal bleeding
Alarm symptom	14	Rectal bleeding	621	J573011	Rectal bleeding
Alarm symptom	14	Rectal bleeding	1642	J68z.11	GIB - Gastrointestinal bleeding
Alarm symptom	14	Rectal bleeding	2150	J68z100	Intestinal haemorrhage NOS
Alarm symptom	14	Rectal bleeding	2832	G848000	Bleeding haemorrhoids NOS
Alarm symptom	14	Rectal bleeding	2873	J681.11	Blood in stool
Alarm symptom	14	Rectal bleeding	3053	4794.00	Faecal occult blood: positive
Alarm symptom	14	Rectal bleeding	3097	J68..00	Gastrointestinal haemorrhage
Alarm symptom	14	Rectal bleeding	3872	J573.11	Bleeding PR
Alarm symptom	14	Rectal bleeding	4636	J68zz00	Gastrointestinal tract haemorrhage NOS
Alarm symptom	14	Rectal bleeding	5462	19E6.00	Blood in faeces
Alarm symptom	14	Rectal bleeding	6151	19E6.11	Blood in faeces symptom
Alarm symptom	14	Rectal bleeding	6554	J573012	PRB - Rectal bleeding
Alarm symptom	14	Rectal bleeding	6574	J573000	Rectal haemorrhage
Alarm symptom	14	Rectal bleeding	9968	19ED.00	Blood on toilet paper
Alarm symptom	14	Rectal bleeding	11698	196C.00	Painless rectal bleeding
Alarm symptom	14	Rectal bleeding	11718	196B.00	Painful rectal bleeding
Alarm symptom	14	Rectal bleeding	12471	J68z.00	Gastrointestinal haemorrhage unspecified
Alarm symptom	14	Rectal bleeding	14256	4762.11	Blood in faeces
Alarm symptom	14	Rectal bleeding	19271	J573.00	Haemorrhage of rectum and anus
Alarm symptom	14	Rectal bleeding	20859	J681.13	Blood in stools altered
Alarm symptom	14	Rectal bleeding	27862	J681.12	Altered blood in stools
Alarm symptom	14	Rectal bleeding	32446	J573100	Anal haemorrhage
Alarm symptom	14	Rectal bleeding	40901	4793.00	Faecal occult blood: trace
Alarm symptom	14	Rectal bleeding	44004	4762.00	Faeces: fresh blood present
Alarm symptom	14	Rectal bleeding	45911	19EG.00	Blood on pants
Alarm symptom	14	Rectal bleeding	46479	J573z00	Haemorrhage of rectum and anus NOS
Alarm symptom	14	Rectal bleeding	61761	Q414200	Perinatal rectal haemorrhage
Alarm symptom	14	Rectal bleeding	104124	8HTE000	Referral to rectal bleeding clinic
Alarm symptom	16	Abdominal mass/ intestinal obstruction	935	J50z.00	Intestinal obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	1221	J50zz15	Bowel obstruction
Alarm symptom	16	Abdominal mass/ intestinal obstruction	1307	J50z500	Subacute intestinal obstructuon
Alarm symptom	16	Abdominal mass/ intestinal obstruction	1347	J50zz13	Small bowel obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	1544	J50zz00	Intestinal obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	1987	25Q3.00	O/E - PR - rectal mass
Alarm symptom	16	Abdominal mass/ intestinal obstruction	3015	R093100	[D]Abdominal mass
Alarm symptom	16	Abdominal mass/ intestinal obstruction	4800	R093000	[D]Abdominal swelling
Alarm symptom	16	Abdominal mass/ intestinal obstruction	5838	R093.00	[D]Swelling, mass or lump within abdomen or pelvis
Alarm symptom	16	Abdominal mass/ intestinal obstruction	7073	R093200	[D]Abdominal lump
Alarm symptom	16	Abdominal mass/ intestinal obstruction	8731	25J..00	O/E - abdominal mass palpated
Alarm symptom	16	Abdominal mass/ intestinal obstruction	16370	R093z00	[D]Swelling, mass or lump within abdomen or pelvis NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	17246	25K4.00	O/E - abdominal mass-pulsatile
Alarm symptom	16	Abdominal mass/ intestinal obstruction	18240	J50y.11	Intestinal adhesions with obstruction
Alarm symptom	16	Abdominal mass/ intestinal obstruction	18789	J50zz11	Colonic obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	20387	25L..00	O/E - abdominal mass shape
Alarm symptom	16	Abdominal mass/ intestinal obstruction	20471	J50..00	Intestinal obstruction without mention of hernia
Alarm symptom	16	Abdominal mass/ intestinal obstruction	20827	25J7.00	Right iliac fossa mass
Alarm symptom	16	Abdominal mass/ intestinal obstruction	21301	25K..00	O/E-abdominal mass consistency
Alarm symptom	16	Abdominal mass/ intestinal obstruction	21568	J50zz12	Large bowel obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	21575	25J8.00	O/E left lower abdominal mass
Alarm symptom	16	Abdominal mass/ intestinal obstruction	21648	J50zz14	Subacute intestinal obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	23478	SP14400	Intestinal obstruction as a complication of care NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	25588	25J1.00	O/E - abd. mass not palpated
Alarm symptom	16	Abdominal mass/ intestinal obstruction	28322	J50z400	Acute intestinal obstruction
Alarm symptom	16	Abdominal mass/ intestinal obstruction	29118	J50y000	Intestinal adhesions with obstruction
Alarm symptom	16	Abdominal mass/ intestinal obstruction	33759	J50yz00	Other intestinal obstruction NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	34238	7H2C500	Biopsy of abdominal mass
Alarm symptom	16	Abdominal mass/ intestinal obstruction	42547	J50y.00	Other intestinal obstruction
Alarm symptom	16	Abdominal mass/ intestinal obstruction	56675	25JZ.00	O/E - abd. mass palpated NOS
Alarm symptom	16	Abdominal mass/ intestinal obstruction	64153	25R3.00	O/E - dullness over abd. mass
Alarm symptom	30	Breast skin changes	10920	26C4.00	Nipple eczema
Alarm symptom	30	Breast skin changes	20347	7N72000	[SO]Skin of breast
Alarm symptom	30	Breast skin changes	31252	26B4.00	O/E - peau d'orange
Alarm symptom	31	Lymphadenopathy	523	2C32.00	O/E -cervical lymphadenopathy
Alarm symptom	31	Lymphadenopathy	787	M043.00	Acute lymphadenitis of face, head and neck
Alarm symptom	31	Lymphadenopathy	1496	R056000	[D]Lymphadenopathy
Alarm symptom	31	Lymphadenopathy	4593	7N89000	[SO]Cervical lymph node
Alarm symptom	31	Lymphadenopathy	8126	2C3..00	O/E - lymphadenopathy
Alarm symptom	31	Lymphadenopathy	15740	2C41.00	O/E - lymph nodes firm
Alarm symptom	31	Lymphadenopathy	15814	2C46.00	O/E - lymph nodes tender
Alarm symptom	31	Lymphadenopathy	18146	2C3..12	O/E - enlarged lymph nodes
Alarm symptom	31	Lymphadenopathy	20897	R056400	[D]Localized enlarged lymph nodes
Alarm symptom	31	Lymphadenopathy	25853	2C38.00	O/E - post-auricular lymphadenopathy
Alarm symptom	31	Lymphadenopathy	33427	2C3Z.00	O/E - lymphadenopathy NOS
Alarm symptom	31	Lymphadenopathy	86012	7N8C.00	[SO]Other lymph node
Alarm symptom	32	Hoarseness	1921	R044500	[D]Hoarseness
Alarm symptom	32	Hoarseness	2246	1CA2.11	Voice hoarseness
Alarm symptom	32	Hoarseness	5936	1CA2.00	Hoarse
Alarm symptom	32	Hoarseness	6517	1CA..00	Hoarseness symptom
Alarm symptom	32	Hoarseness	11627	1CA..11	Hoarseness - throat symptom
Alarm symptom	32	Hoarseness	16810	2DE4.00	O/E - hoarseness
Alarm symptom	32	Hoarseness	38120	1CAZ.00	Hoarseness symptom NOS
Alarm symptom	33	Head or neck lump	728	22H4.00	O/E - thyroid lump
Alarm symptom	33	Head or neck lump	1461	R042500	[D]Localized swelling, mass and lump, neck
Alarm symptom	33	Head or neck lump	2197	R042z11	[D]Lump throat
Alarm symptom	33	Head or neck lump	3526	R042800	[D]Lump on head
Alarm symptom	33	Head or neck lump	4248	R042200	[D]Lump in head or neck
Alarm symptom	33	Head or neck lump	5415	1CB4.00	Feeling of lump in throat
Alarm symptom	33	Head or neck lump	6409	R042.12	[D]Swelling, mass or lump in neck
Alarm symptom	33	Head or neck lump	6896	R042.00	[D]Swelling, mass or lump in head and neck
Alarm symptom	33	Head or neck lump	8107	R042400	[D]Localized swelling, mass and lump, head
Alarm symptom	33	Head or neck lump	8753	2I1A.00	Lump on neck
Alarm symptom	33	Head or neck lump	9784	R042A00	[D]Submental lump
Alarm symptom	33	Head or neck lump	11177	22G5.00	Parotid lump
Alarm symptom	33	Head or neck lump	12501	R042900	[D]Lump on nose
Alarm symptom	33	Head or neck lump	21979	R042.11	[D]Swelling, mass or lump in head
Alarm symptom	33	Head or neck lump	24465	R042z00	[D]Swelling, mass or lump in head or neck NOS
Alarm symptom	34	Testicular enlargement/ lump	1475	K28yu11	Testicular swelling NOS
Alarm symptom	34	Testicular enlargement/ lump	2015	2654.00	O/E - testicular swelling
Alarm symptom	34	Testicular enlargement/ lump	2681	R093900	[D]Groin swelling
Alarm symptom	34	Testicular enlargement/ lump	3006	R093B00	[D]Groin lump
Alarm symptom	34	Testicular enlargement/ lump	4322	265..00	O/E - scrotal swelling
Alarm symptom	34	Testicular enlargement/ lump	6162	265..12	O/E - testicular swelling
Alarm symptom	34	Testicular enlargement/ lump	7289	R08z300	[D]Swelling of scrotum
Alarm symptom	34	Testicular enlargement/ lump	7399	2659.00	Testicular lump
Alarm symptom	34	Testicular enlargement/ lump	16571	2652.00	O/E -scrotal swelling-transill
Alarm symptom	34	Testicular enlargement/ lump	24134	265Z.00	O/E - scrotal swelling NOS
Alarm symptom	34	Testicular enlargement/ lump	32658	265D.00	O/E - right scrotal swelling
Alarm symptom	34	Testicular enlargement/ lump	40769	265E.00	O/E - left scrotal swelling
Alarm symptom	34	Testicular enlargement/ lump	50437	2653.00	O/E -scrotal swell.no transill
Alarm symptom	35	Other lump	942	R022900	[D]Foot lump
Alarm symptom	35	Other lump	961	R022400	[D]Localized swelling, mass and lump, upper limb
Alarm symptom	35	Other lump	1026	R022B00	[D]Lump on hand
Alarm symptom	35	Other lump	1532	R022C00	[D]Lump on knee
Alarm symptom	35	Other lump	1710	R022.00	[D]Local superficial swelling, mass or lump
Alarm symptom	35	Other lump	1853	R066100	[D]Chest lump
Alarm symptom	35	Other lump	2185	R022I00	[D]Toe lump
Alarm symptom	35	Other lump	2591	R022700	[D]Axillary lump
Alarm symptom	35	Other lump	2615	R022A00	[D]Shoulder lump
Alarm symptom	35	Other lump	2718	R022G00	[D]Finger lump
Alarm symptom	35	Other lump	3657	R022200	[D]Lump, localized and superficial
Alarm symptom	35	Other lump	4154	R022D00	[D]Lump on leg
Alarm symptom	35	Other lump	4200	R022H00	[D]Wrist lump
Alarm symptom	35	Other lump	4540	R022F00	[D]Lump on thigh
Alarm symptom	35	Other lump	5856	2I11.00	O/E - a lump
Alarm symptom	35	Other lump	6861	R022z00	[D]Local superficial swelling, mass or lump NOS
Alarm symptom	35	Other lump	7466	R022500	[D]Localized swelling, mass and lump, lower limb
Alarm symptom	35	Other lump	11442	R093800	[D]Umbilical lump
Alarm symptom	35	Other lump	16002	R066.00	[D]Swelling, mass and lump of chest
Alarm symptom	35	Other lump	16842	R022E00	[D]Lump on shin
Alarm symptom	35	Other lump	23997	R022600	[D]Localized swelling, mass and lump, multiple sites
Alarm symptom	35	Other lump	29328	R022800	[D]Lump on back
Alarm symptom	35	Other lump	30075	R093500	[D]Pelvic lump
Alarm symptom	35	Other lump	53736	R093111	[D]Lump stomach
Alarm symptom	35	Other lump	57679	R066z00	[D]Swelling, mass or lump of chest NOS
Vague symptom	1	Abdominal pain	177	1969.00	Abdominal pain
Vague symptom	1	Abdominal pain	290	1972.00	Epigastric pain
Vague symptom	1	Abdominal pain	421	197..12	Iliac fossa pain
Vague symptom	1	Abdominal pain	526	1A53.11	C/O - loin pain
Vague symptom	1	Abdominal pain	542	R090500	[D]Epigastric pain
Vague symptom	1	Abdominal pain	628	R090700	[D]Hypochondrial pain
Vague symptom	1	Abdominal pain	701	1975.00	Left flank pain
Vague symptom	1	Abdominal pain	716	R090400	[D]Abdominal cramps
Vague symptom	1	Abdominal pain	948	R090F00	[D]Acute abdomen
Vague symptom	1	Abdominal pain	1181	1977.00	Right iliac fossa pain
Vague symptom	1	Abdominal pain	1228	1829.00	Retrosternal pain
Vague symptom	1	Abdominal pain	1239	R090200	[D]Colic NOS
Vague symptom	1	Abdominal pain	1763	R090.00	[D]Abdominal pain
Vague symptom	1	Abdominal pain	1976	196..11	Abdominal pain type
Vague symptom	1	Abdominal pain	2056	R090100	[D]Abdominal colic
Vague symptom	1	Abdominal pain	2234	R090E00	[D]Recurrent acute abdominal pain
Vague symptom	1	Abdominal pain	2383	1968.00	Abdominal discomfort
Vague symptom	1	Abdominal pain	2982	1978.00	Left iliac fossa pain
Vague symptom	1	Abdominal pain	3086	1976.00	Right flank pain
Vague symptom	1	Abdominal pain	3338	R090z00	[D]Abdominal pain NOS
Vague symptom	1	Abdominal pain	3978	197B.00	Upper abdominal pain
Vague symptom	1	Abdominal pain	4617	1971.00	Central abdominal pain
Vague symptom	1	Abdominal pain	4771	R090600	[D]Umbilical pain
Vague symptom	1	Abdominal pain	5691	1963.00	Non-colicky abdominal pain
Vague symptom	1	Abdominal pain	5782	25C..15	O/E - abdomen tender
Vague symptom	1	Abdominal pain	5804	2I18.12	O/E - tenderness
Vague symptom	1	Abdominal pain	5960	197..13	Site of abdominal pain
Vague symptom	1	Abdominal pain	6357	197..14	Subcostal pain
Vague symptom	1	Abdominal pain	6395	196..12	Type of GIT pain - symptom
Vague symptom	1	Abdominal pain	7300	1979.00	Suprapubic pain
Vague symptom	1	Abdominal pain	7490	197..11	Flank pain
Vague symptom	1	Abdominal pain	7726	R090J00	[D]Right upper quadrant pain
Vague symptom	1	Abdominal pain	7812	1962.00	Colicky abdominal pain
Vague symptom	1	Abdominal pain	8362	R090K00	[D]Left upper quadrant pain
Vague symptom	1	Abdominal pain	8436	R090H00	[D]Upper abdominal pain
Vague symptom	1	Abdominal pain	9061	R090L00	[D]Left lower quadrant pain
Vague symptom	1	Abdominal pain	9695	197D.00	Right upper quadrant pain
Vague symptom	1	Abdominal pain	11070	197A.11	General abdominal pain-symptom
Vague symptom	1	Abdominal pain	11647	25C8.00	O/E - abd. pain - R.iliac
Vague symptom	1	Abdominal pain	12639	25C2.00	O/E - abd.pain-R.hypochondrium
Vague symptom	1	Abdominal pain	13626	2I18100	Tenderness of epigastrium
Vague symptom	1	Abdominal pain	14916	25CZ.00	O/E -abd.pain on palpation NOS
Vague symptom	1	Abdominal pain	14989	196..00	Type of GIT pain
Vague symptom	1	Abdominal pain	15180	25C..00	O/E - abdo. pain on palpation
Vague symptom	1	Abdominal pain	15213	2I18.00	O/E - tenderness/pain
Vague symptom	1	Abdominal pain	15288	R090C00	[D]Loin pain
Vague symptom	1	Abdominal pain	16402	R090000	[D]Abdominal tenderness
Vague symptom	1	Abdominal pain	16806	R090900	[D]Pain in right iliac fossa
Vague symptom	1	Abdominal pain	16868	R090A00	[D]Pain in left iliac fossa
Vague symptom	1	Abdominal pain	17223	25C..12	O/E - iliac pain on palpation
Vague symptom	1	Abdominal pain	17324	1DC5.00	Griping pain
Vague symptom	1	Abdominal pain	17451	25E..00	O/E - rebound tenderness
Vague symptom	1	Abdominal pain	17636	25C..14	O/E - umbilical pain on palp.
Vague symptom	1	Abdominal pain	19223	25C3.00	O/E - abd. pain - epigastrium
Vague symptom	1	Abdominal pain	19283	R090N00	[D]Nonspecific abdominal pain
Vague symptom	1	Abdominal pain	19360	R090M00	[D]Right lower quadrant pain
Vague symptom	1	Abdominal pain	20475	R090800	[D]Suprapubic pain
Vague symptom	1	Abdominal pain	20640	25C..11	O/E - epigastric pain on palp.
Vague symptom	1	Abdominal pain	21583	25CA.00	O/E - abd. pain - L.iliac
Vague symptom	1	Abdominal pain	22608	197C.00	Lower abdominal pain
